"time","x_acc","y_acc","z_acc"
"0.005","-0.3075076868791133","0.24678806443512438","2.0379156946480275"
"0.022","-0.0518549095954746","0.15284312180280685","1.8341946185231208"
"0.039","0.07172589563215151","0.29156770188212394","0.9173457310646772"
"0.055","0.03616257921662181","0.2559276487022638","0.6274579450935125"
"0.072","-0.16342917855121195","0.30572599109411236","0.23873043018579482"
"0.093","-0.26312906798105684","0.44916532473564147","0.18501871374249457"
"0.105","-0.19262761784363536","0.3313748116135597","0.07037292838692664"
"0.122","0.09750391375552862","-0.17342121492922305","0.12220306886732578"
"0.141","0.20933942746333778","-0.266449627238512","0.24460370613336563"
"0.155","0.11699640360232443","-0.11461772830486297","0.30403964544236656"
"0.172","-0.11023279121890664","-0.001182195521891117","0.6285340498924255"
"0.189","0.12623402315014973","0.05615238759368658","0.6702040308862924"
"0.205","0.31980321442652493","0.11559446438252925","0.35379824034571644"
"0.222","0.04145166206806898","0.010383739109337329","-0.12569792524576187"
"0.239","-0.033712774911709126","0.020976737055182455","-0.7615279773652553"
"0.255","0.024108824535831807","-0.17486439947485924","-0.7698398786365985"
"0.272","-0.06402187885977327","-0.4973123927891254","-1.091527993494272"
"0.289","-0.09652856591735035","-0.045994273933768266","-1.2444161234825848"
"0.305","-0.13807338616158812","0.04078238450437784","-1.2778876004517077"
"0.322","-0.09111004799995572","-0.17504530899971724","-1.2680728934019803"
"0.339","0.08781290615070611","-0.6043351359203457","-1.3289052555054426"
"0.357","0.06863280672132968","-0.36385932337194676","-0.9345195687055587"
"0.372","-0.02012150846533477","-0.24796675282567737","-0.6198293499112129"
"0.389","0.005111095936037599","-0.15290478886216877","-0.2719102307319641"
"0.405","0.13021744849681854","-0.12151567112505435","-0.41291619974672794"
"0.422","0.18208576556313782","-0.07159311783164739","-0.3841758429527283"
"0.439","0.07755600829143076","0.03891396028399467","-0.09529694176316261"
"0.455","0.05265099187660962","-0.09093670072704553","0.1374000534772873"
"0.472","0.04188899403940886","-0.16781652678996323","0.02860883936882019"
"0.493","0.11734174644127487","-0.15900076764971016","-0.26013679082989694"
"0.505","0.12137549546938389","-0.24427462030947206","-0.16443302183151245"
"0.522","0.0975233491083607","-0.21275895358324048","-0.18535189121961593"
"0.539","0.047912857438810165","-0.10931406893879174","-0.5203355409801006"
"0.555","0.07366871852930634","-0.1088432365566492","-0.7719330515235662"
"0.572","0.0687362305631861","-0.18921499638855457","-0.8540724055498838"
"0.589","0.08099610227532685","-0.28087328938841816","-1.0681968022674322"
"0.605","0.08960779021084309","-0.17470336369425057","-1.2860714914292097"
"0.622","0.08067545548621564","-0.11552724436521529","-1.3419476924300193"
"0.644","-0.0485429355032742","0.08205459835231303","-1.5251561418801545"
"0.659","-0.056864773646742105","0.08261953875869513","-1.5141723910510538"
"0.672","-0.03905022694952786","0.007367606158554554","-1.4786527493804693"
"0.689","0.010267455785907804","-0.20553134041726587","-0.8747247329562902"
"0.706","0.04538450800497085","-0.207017487321794","-0.26417875969707966"
"0.722","0.025196692837774752","-0.12622691755592821","-0.01189560497701168"
"0.744","-0.0547672533782199","0.11040361774116754","0.26215631395876404"
