"time","x_acc","y_acc","z_acc"
"0.008","0.12326529127135873","0.008965396744012833","0.5320277323395014"
"0.025","0.055872693869471544","0.18453005344271659","0.1637035385131836"
"0.042","-0.12161401693299412","0.47979368723332877","-0.4283353026747703"
"0.058","-0.14806699344217777","0.3834329156309366","-0.8945897093772888"
"0.075","-0.13316709208264946","0.21839842077493665","-1.1558043585717677"
"0.094","0.112458942835778","-0.17260288428366183","-1.243891807347536"
"0.108","0.26310586976855993","-0.5898527293205261","-1.0450450592607259"
"0.125","0.2802162685181014","-0.6324386561155318","-1.0576046811044215"
"0.141","0.13590718457102774","-0.3855167361676693","-1.5900795726895331"
"0.159","0.08622750012278556","0.05870002624988556","-1.599953316450119"
"0.175","-0.02874137970730662","-0.0498445196211338","-1.2762035928875206"
"0.192","-0.11807999758794903","-0.1318529407441616","-1.3228513622939586"
"0.208","-0.10581161377578974","-0.22102526214718818","-1.0907903268694876"
"0.225","-0.07920476187914609","-0.05476034871339798","-0.4967430684685707"
"0.242","-0.08971548836901784","0.03804945240914821","-0.14541384858489037"
"0.258","-0.13633373942002652","0.1680856991201639","0.5635854846417904"
"0.275","-0.09932080871807411","0.36062194888591764","1.152230591738224"
"0.292","-0.0771370156943798","0.49444882005155083","1.3359960905492305"
"0.309","-0.02087650068425573","0.419658075222373","1.6994599848628043"
"0.325","0.024166180746257305","0.3458627711713314","2.117755539560318"
"0.342","0.03639525546133518","0.3491647353261709","2.2629414246082304"
"0.359","-0.08116670960187912","0.3726619307696819","2.2900024500131604"
"0.375","-0.09843991596400738","0.4403881440401077","1.9017630108833312"
"0.391","-0.11904138996601105","0.41029461907148357","1.6654221061825751"
"0.409","-0.044467941149324175","0.2353986554145813","1.3677268613308666"
"0.425","0.004106403272366151","0.006882745251059532","0.779145467120409"
"0.442","-0.012464929297566414","-0.04374152657091617","0.3437947327256202"
"0.458","-0.02768545917989686","-0.0076852938055992125","-0.2943623010367155"
"0.475","-0.029688159038126466","0.06754150435328483","-0.4695142852813005"
"0.493","-0.07030965389236807","0.012250994285941123","-0.5399181933283805"
"0.509","0.005926905830949545","-0.2302127772092819","-0.8093371917665004"
"0.525","0.08310790679752826","-0.3615466625154018","-0.8301070080727339"
"0.542","0.07120687672672793","-0.33658933139145375","-0.6213356628209352"
"0.558","0.02857508322969079","-0.24851591114103794","-0.3578390401691198"
"0.575","0.07203720833733677","-0.2770563614487648","-0.29665187327861786"
"0.592","0.08623772925585507","-0.369328986954689","-0.18907471113502977"
"0.609","0.19026974787218495","-0.3109311585217714","-0.019960838010907173"
"0.625","0.24459552282691","-0.15809680454730987","-0.04693476965427398"
"0.642","0.1583684610955417","-0.08044774767756462","-0.5509779320031404"
"0.658","0.14451587683185935","0.03402969537377357","-0.7794318828463553"
"0.675","0.12823431185558437","0.1370329737305641","-0.9487000697493553"
"0.692","0.03304448372870684","-0.09952069693803786","-0.6743330935150385"
"0.709","-0.06011341844545677","-0.24556115298867223","-0.5536059424191713"
"0.725","-0.12074380996972321","-0.3487994091451168","-0.4871528178244829"
"0.742","-0.14936346299350262","-0.19436989493370055","-0.49774961516261096"
"0.759","-0.12681554936515166","-0.08200140686035155","-0.5156938526540994"
"0.775","-0.05013356569558382","-0.02054828251004219","-0.4444119927287101"
"0.791","-0.016614157931506633","0.03527940317392349","-0.3447387355774641"
"0.809","-0.025078911677002904","0.037053427109122274","-0.3175029381275177"
"0.825","-0.033803339271992444","0.03771276780068874","-0.18590777153670787"
"0.842","-0.04658551782518625","-0.1055102927416563","0.14296937804222107"
"0.859","-0.05947349484041333","-0.1450286486595869","0.1778150659739971"
"0.875","-0.006640753188729286","-0.08312836506366729","0.08424830900430678"
"0.892","-0.003944810369331389","0.04034428534805774","-0.007706336593627929"
"0.909","0.008608683127677067","0.15788462310135365","0.06460837351083755"
"0.925","-0.02196501744017005","0.22012334487140178","0.1638894164741039"
"0.942","-0.005630407102406024","0.06336801806092261","0.16041151123046873"
"0.959","-0.012653145346045494","-0.017736147698760033","0.09699322428703308"
"0.975","-0.024950024600327015","-0.07100479654967784","-0.012491817304491996"
"0.992","-0.052672290392965074","-0.042046997612714763","-0.09142916041910648"
"1.009","-0.028412586144357918","-0.08131050198674201","-0.11302782876491546"
"1.025","0.01601122360229492","-0.1584697295129299","-0.21119711109399794"
